Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
160,,2025-05-21 13:30:00,,,-1.0,-127.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-131.54,-127.5,Unknown,Unknown
162,,2025-05-21 15:30:00,,,1.0,210.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,205.96,210.0,Unknown,Unknown
164,,2025-05-22 18:00:00,,,-1.0,-1.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-5.29,-1.25,Unknown,Unknown
166,,2025-05-28 15:00:00,,,1.0,70.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,65.96,70.0,Unknown,Unknown
168,,2025-05-30 14:30:00,,,1.0,-162.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-166.54,-162.5,Unknown,Unknown
170,,2025-06-01 18:00:00,,,-1.0,-15.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-19.04,-15.0,Unknown,Unknown
172,,2025-06-02 15:30:00,,,-1.0,127.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,123.46,127.5,Unknown,Unknown
174,,2025-06-04 18:00:00,,,1.0,41.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,37.21,41.25,Unknown,Unknown
176,,2025-06-05 13:00:00,,,-1.0,-173.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-177.79,-173.75,Unknown,Unknown
178,,2025-06-05 15:30:00,,,1.0,137.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,133.46,137.5,Unknown,Unknown
180,,2025-06-06 14:45:00,,,1.0,-120.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-124.04,-120.0,Unknown,Unknown
182,,2025-06-09 16:15:00,,,-1.0,-55.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
184,,2025-06-10 18:00:00,,,-1.0,10.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,5.96,10.0,Unknown,Unknown
