Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
98,,2025-02-20 07:00:00,,,,-1.0,1.0,-46.25,-46.25,4.04,-50.29,-9.25,-46.25,-50.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
100,,2025-02-21 09:45:00,,,,-1.0,1.0,-48.75,-48.75,4.04,-52.79,-9.75,-48.75,-52.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
102,,2025-02-24 09:45:00,,,,-1.0,1.0,-110.0,-110.0,4.04,-114.04,-22.0,-110.0,-114.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
104,,2025-02-25 10:00:00,,,,-1.0,1.0,-130.0,-130.0,4.04,-134.04,-26.0,-130.0,-134.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
106,,2025-02-26 09:45:00,,,,-1.0,1.0,-81.25,-81.25,4.04,-85.29,-16.25,-81.25,-85.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
108,,2025-02-27 09:00:00,,,,-1.0,1.0,-92.5,-92.5,4.04,-96.54,-18.5,-92.5,-96.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
110,,2025-02-28 08:30:00,,,,-1.0,1.0,-83.75,-83.75,4.04,-87.79,-16.75,-83.75,-87.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
112,,2025-03-03 09:45:00,,,,-1.0,1.0,-102.5,-102.5,4.04,-106.54,-20.5,-102.5,-106.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
114,,2025-03-04 09:45:00,,,,1.0,1.0,166.25,166.25,4.04,162.21,33.25,166.25,162.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
116,,2025-03-05 11:15:00,,,,1.0,1.0,200.0,200.0,4.04,195.96,40.0,200.0,195.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
118,,2025-03-06 09:45:00,,,,1.0,1.0,170.0,170.0,4.04,165.96,34.0,170.0,165.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
120,,2025-03-07 08:30:00,,,,-1.0,1.0,-173.75,-173.75,4.04,-177.79,-34.75,-173.75,-177.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
122,,2025-03-10 10:15:00,,,,1.0,1.0,292.5,292.5,4.04,288.46,58.5,292.5,288.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
124,,2025-03-11 09:00:00,,,,-1.0,1.0,-106.25,-106.25,4.04,-110.29,-21.25,-106.25,-110.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
126,,2025-03-12 08:45:00,,,,-1.0,1.0,257.5,257.5,4.04,253.46,51.5,257.5,253.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
128,,2025-03-13 11:45:00,,,,-1.0,1.0,-306.25,-306.25,4.04,-310.29,-61.25,-306.25,-310.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
130,,2025-03-14 11:00:00,,,,-1.0,1.0,216.25,216.25,4.04,212.21,43.25,216.25,212.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
132,,2025-03-17 14:15:00,,,,-1.0,1.0,365.0,365.0,4.04,360.96,73.0,365.0,360.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
134,,2025-03-18 06:30:00,,,,-1.0,1.0,-88.75,-88.75,4.04,-92.79,-17.75,-88.75,-92.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
