Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,HoldMins,Commission,NetPL,GrossPL,Direction,Session
314,,2025-01-29 06:45:00,,,-1.0,25.0,EMA_Inversion_33,Sell to Close,,4.04,20.96,25.0,Unknown,Unknown
316,,2025-01-29 07:30:00,,,1.0,25.0,EMA_Inversion_33,Buy to Close,,4.04,20.96,25.0,Unknown,Unknown
318,,2025-01-29 09:30:00,,,-1.0,-55.0,EMA_Inversion_33,Sell to Close,,4.04,-59.04,-55.0,Unknown,Unknown
320,,2025-01-29 13:15:00,,,1.0,143.75,SuperSignal_v6,Buy to Close,,4.04,139.71,143.75,Unknown,Unknown
322,,2025-01-30 05:00:00,,,1.0,25.0,EMA_Inversion_33,Buy to Close,,4.04,20.96,25.0,Unknown,Unknown
324,,2025-01-30 10:15:00,,,-1.0,-37.5,SuperSignal_v6,Sell to Close,,4.04,-41.54,-37.5,Unknown,Unknown
326,,2025-01-30 14:00:00,,,1.0,-120.0,SuperSignal_v6,Buy to Close,,4.04,-124.04,-120.0,Unknown,Unknown
328,,2025-01-31 09:15:00,,,1.0,35.0,EMA_Inversion_33,Buy to Close,,4.04,30.96,35.0,Unknown,Unknown
330,,2025-01-31 10:45:00,,,-1.0,108.75,SuperSignal_v6,Sell to Close,,4.04,104.71,108.75,Unknown,Unknown
332,,2025-01-31 14:15:00,,,1.0,98.75,SuperSignal_v6,Buy to Close,,4.04,94.71,98.75,Unknown,Unknown
334,,2025-02-03 03:30:00,,,1.0,-28.75,EMA_Inversion_33,Buy to Close,,4.04,-32.79,-28.75,Unknown,Unknown
336,,2025-02-03 04:00:00,,,-1.0,6.25,EMA_Inversion_33,Sell to Close,,4.04,2.21,6.25,Unknown,Unknown
338,,2025-02-03 07:00:00,,,1.0,20.0,EMA_Inversion_33,Buy to Close,,4.04,15.96,20.0,Unknown,Unknown
340,,2025-02-03 08:15:00,,,-1.0,7.5,EMA_Inversion_33,Sell to Close,,4.04,3.46,7.5,Unknown,Unknown
342,,2025-02-03 10:30:00,,,1.0,0.0,SuperSignal_v6,Buy to Close,,4.04,-4.04,0.0,Unknown,Unknown
344,,2025-02-03 14:30:00,,,-1.0,127.5,SuperSignal_v6,Sell to Close,,4.04,123.46,127.5,Unknown,Unknown
346,,2025-02-04 04:15:00,,,-1.0,-2.5,EMA_Inversion_33,Sell to Close,,4.04,-6.54,-2.5,Unknown,Unknown
348,,2025-02-04 04:45:00,,,1.0,20.0,EMA_Inversion_33,Buy to Close,,4.04,15.96,20.0,Unknown,Unknown
350,,2025-02-04 06:45:00,,,-1.0,41.25,EMA_Inversion_33,Sell to Close,,4.04,37.21,41.25,Unknown,Unknown
352,,2025-02-04 09:30:00,,,1.0,-43.75,EMA_Inversion_33,Buy to Close,,4.04,-47.79,-43.75,Unknown,Unknown
354,,2025-02-04 10:15:00,,,-1.0,116.25,SuperSignal_v6,Sell to Close,,4.04,112.21,116.25,Unknown,Unknown
356,,2025-02-04 16:15:00,,,-1.0,-28.75,SuperSignal_v6,Sell to Close,,4.04,-32.79,-28.75,Unknown,Unknown
358,,2025-02-05 06:15:00,,,-1.0,35.0,EMA_Inversion_33,Sell to Close,,4.04,30.96,35.0,Unknown,Unknown
360,,2025-02-05 09:30:00,,,1.0,-91.25,EMA_Inversion_33,Buy to Close,,4.04,-95.29,-91.25,Unknown,Unknown
362,,2025-02-05 13:45:00,,,-1.0,137.5,SuperSignal_v6,Sell to Close,,4.04,133.46,137.5,Unknown,Unknown
364,,2025-02-06 06:00:00,,,1.0,42.5,EMA_Inversion_33,Buy to Close,,4.04,38.46,42.5,Unknown,Unknown
366,,2025-02-06 08:00:00,,,-1.0,13.75,EMA_Inversion_33,Sell to Close,,4.04,9.71,13.75,Unknown,Unknown
368,,2025-02-06 13:15:00,,,1.0,-31.25,SuperSignal_v6,Buy to Close,,4.04,-35.29,-31.25,Unknown,Unknown
370,,2025-02-06 14:45:00,,,1.0,48.75,SuperSignal_v6,Buy to Close,,4.04,44.71,48.75,Unknown,Unknown
372,,2025-02-07 09:30:00,,,1.0,-30.0,EMA_Inversion_33,Buy to Close,,4.04,-34.04,-30.0,Unknown,Unknown
374,,2025-02-07 10:15:00,,,-1.0,-28.75,SuperSignal_v6,Sell to Close,,4.04,-32.79,-28.75,Unknown,Unknown
376,,2025-02-07 15:30:00,,,1.0,107.5,SuperSignal_v6,Buy to Close,,4.04,103.46,107.5,Unknown,Unknown
378,,2025-02-11 04:30:00,,,1.0,-15.0,EMA_Inversion_33,Buy to Close,,4.04,-19.04,-15.0,Unknown,Unknown
380,,2025-02-11 08:00:00,,,-1.0,15.0,EMA_Inversion_33,Sell to Close,,4.04,10.96,15.0,Unknown,Unknown
382,,2025-02-11 08:30:00,,,1.0,32.5,EMA_Inversion_33,Buy to Close,,4.04,28.46,32.5,Unknown,Unknown
384,,2025-02-11 18:00:00,,,-1.0,121.25,SuperSignal_v6,Sell to Close,,4.04,117.21,121.25,Unknown,Unknown
386,,2025-02-12 07:30:00,,,-1.0,38.75,EMA_Inversion_33,Sell to Close,,4.04,34.71,38.75,Unknown,Unknown
388,,2025-02-12 08:45:00,,,1.0,287.5,EMA_Inversion_33,Buy to Close,,4.04,283.46,287.5,Unknown,Unknown
390,,2025-02-12 09:15:00,,,-1.0,-23.75,EMA_Inversion_33,Sell to Close,,4.04,-27.79,-23.75,Unknown,Unknown
392,,2025-02-13 03:15:00,,,1.0,-227.5,EMA_Inversion_33,Buy to Close,,4.04,-231.54,-227.5,Unknown,Unknown
394,,2025-02-13 04:45:00,,,-1.0,-7.5,EMA_Inversion_33,Sell to Close,,4.04,-11.54,-7.5,Unknown,Unknown
396,,2025-02-13 07:15:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,,4.04,14.71,18.75,Unknown,Unknown
398,,2025-02-13 08:45:00,,,-1.0,83.75,EMA_Inversion_33,Sell to Close,,4.04,79.71,83.75,Unknown,Unknown
400,,2025-02-13 09:30:00,,,1.0,-3.75,EMA_Inversion_33,Buy to Close,,4.04,-7.79,-3.75,Unknown,Unknown
