Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,HoldMins,Session,TradeType,RMultiple,Commission,NetPL
296,,2025-01-27 07:15:00,,,-1.0,73.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,71.73
298,,2025-01-27 09:15:00,,,1.0,-28.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-30.77
300,,2025-01-27 09:30:00,,,-1.0,-8.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-10.77
302,,2025-01-28 07:00:00,,,1.0,-308.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-310.77
304,,2025-01-28 08:15:00,,,-1.0,0.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-2.02
306,,2025-01-28 08:45:00,,,1.0,33.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,31.73
308,,2025-01-28 13:30:00,,,-1.0,228.75,SuperSignal_v6,,Unknown,Unknown,,2.02,226.73
310,,2025-01-28 15:00:00,,,-1.0,58.75,SuperSignal_v6,,Unknown,Unknown,,2.02,56.73
312,,2025-01-29 05:30:00,,,1.0,33.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,31.73
314,,2025-01-29 06:45:00,,,-1.0,25.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,22.98
316,,2025-01-29 07:30:00,,,1.0,25.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,22.98
318,,2025-01-29 09:30:00,,,-1.0,-55.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-57.02
320,,2025-01-29 13:15:00,,,1.0,143.75,SuperSignal_v6,,Unknown,Unknown,,2.02,141.73
322,,2025-01-30 05:00:00,,,1.0,25.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,22.98
324,,2025-01-30 10:15:00,,,-1.0,-37.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-39.52
326,,2025-01-30 14:00:00,,,1.0,-120.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-122.02
328,,2025-01-31 09:15:00,,,1.0,35.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,32.98
330,,2025-01-31 10:45:00,,,-1.0,108.75,SuperSignal_v6,,Unknown,Unknown,,2.02,106.73
332,,2025-01-31 14:15:00,,,1.0,98.75,SuperSignal_v6,,Unknown,Unknown,,2.02,96.73
334,,2025-02-03 03:30:00,,,1.0,-28.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-30.77
336,,2025-02-03 04:00:00,,,-1.0,6.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,4.23
338,,2025-02-03 07:00:00,,,1.0,20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,17.98
340,,2025-02-03 08:15:00,,,-1.0,7.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,5.48
342,,2025-02-03 10:30:00,,,1.0,0.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-2.02
344,,2025-02-03 14:30:00,,,-1.0,127.5,SuperSignal_v6,,Unknown,Unknown,,2.02,125.48
346,,2025-02-04 04:15:00,,,-1.0,-2.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-4.52
348,,2025-02-04 04:45:00,,,1.0,20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,17.98
350,,2025-02-04 06:45:00,,,-1.0,41.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,39.23
352,,2025-02-04 09:30:00,,,1.0,-43.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-45.77
354,,2025-02-04 10:15:00,,,-1.0,116.25,SuperSignal_v6,,Unknown,Unknown,,2.02,114.23
356,,2025-02-04 16:15:00,,,-1.0,-28.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-30.77
358,,2025-02-05 06:15:00,,,-1.0,35.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,32.98
360,,2025-02-05 09:30:00,,,1.0,-91.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-93.27
362,,2025-02-05 13:45:00,,,-1.0,137.5,SuperSignal_v6,,Unknown,Unknown,,2.02,135.48
364,,2025-02-06 06:00:00,,,1.0,42.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,40.48
366,,2025-02-06 08:00:00,,,-1.0,13.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,11.73
368,,2025-02-06 13:15:00,,,1.0,-31.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-33.27
370,,2025-02-06 14:45:00,,,1.0,48.75,SuperSignal_v6,,Unknown,Unknown,,2.02,46.73
372,,2025-02-07 09:30:00,,,1.0,-30.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-32.02
374,,2025-02-07 10:15:00,,,-1.0,-28.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-30.77
376,,2025-02-07 15:30:00,,,1.0,107.5,SuperSignal_v6,,Unknown,Unknown,,2.02,105.48
378,,2025-02-11 04:30:00,,,1.0,-15.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-17.02
380,,2025-02-11 08:00:00,,,-1.0,15.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,12.98
382,,2025-02-11 08:30:00,,,1.0,32.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,30.48
384,,2025-02-11 18:00:00,,,-1.0,121.25,SuperSignal_v6,,Unknown,Unknown,,2.02,119.23
386,,2025-02-12 07:30:00,,,-1.0,38.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,36.73
388,,2025-02-12 08:45:00,,,1.0,287.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,285.48
390,,2025-02-12 09:15:00,,,-1.0,-23.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-25.77
392,,2025-02-13 03:15:00,,,1.0,-227.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-229.52
394,,2025-02-13 04:45:00,,,-1.0,-7.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-9.52
396,,2025-02-13 07:15:00,,,1.0,18.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,16.73
398,,2025-02-13 08:45:00,,,-1.0,83.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,81.73
400,,2025-02-13 09:30:00,,,1.0,-3.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-5.77
402,,2025-02-13 10:45:00,,,-1.0,133.75,SuperSignal_v6,,Unknown,Unknown,,2.02,131.73
404,,2025-02-13 14:15:00,,,-1.0,75.0,SuperSignal_v6,,Unknown,Unknown,,2.02,72.98
406,,2025-02-14 10:45:00,,,-1.0,-27.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-29.52
