Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
194,,2025-02-14 14:00:00,,,1.0,-57.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-61.54,-57.5,Unknown,Unknown
196,,2025-02-14 14:45:00,,,-1.0,-37.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-41.54,-37.5,Unknown,Unknown
198,,2025-02-16 18:00:00,,,1.0,-8.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-12.79,-8.75,Unknown,Unknown
200,,2025-02-17 18:15:00,,,-1.0,-23.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-27.79,-23.75,Unknown,Unknown
202,,2025-02-18 14:15:00,,,1.0,47.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,43.46,47.5,Unknown,Unknown
204,,2025-02-19 14:30:00,,,-1.0,107.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,103.46,107.5,Unknown,Unknown
206,,2025-02-20 10:15:00,,,1.0,58.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
208,,2025-02-20 14:15:00,,,1.0,-66.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-70.29,-66.25,Unknown,Unknown
210,,2025-02-21 10:30:00,,,1.0,65.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,60.96,65.0,Unknown,Unknown
212,,2025-02-24 10:15:00,,,1.0,82.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,78.46,82.5,Unknown,Unknown
214,,2025-02-24 15:45:00,,,1.0,72.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,68.46,72.5,Unknown,Unknown
216,,2025-02-25 10:15:00,,,1.0,83.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
