Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
58,,2025-01-28 15:30:00,,,,-1.0,1.0,145.0,145.0,4.04,140.96,29.0,145.0,140.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
60,,2025-01-29 14:45:00,,,,1.0,1.0,-53.75,-53.75,4.04,-57.79,-10.75,-53.75,-57.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
62,,2025-01-30 14:15:00,,,,1.0,1.0,-132.5,-132.5,4.04,-136.54,-26.5,-132.5,-136.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
64,,2025-01-30 15:45:00,,,,-1.0,1.0,-77.5,-77.5,4.04,-81.54,-15.5,-77.5,-81.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
66,,2025-01-31 14:45:00,,,,1.0,1.0,126.25,126.25,4.04,122.21,25.25,126.25,122.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
68,,2025-02-03 18:00:00,,,,-1.0,1.0,230.0,230.0,4.04,225.96,46.0,230.0,225.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
70,,2025-02-04 18:00:00,,,,-1.0,1.0,-72.5,-72.5,4.04,-76.54,-14.5,-72.5,-76.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
72,,2025-02-05 18:00:00,,,,-1.0,1.0,133.75,133.75,4.04,129.71,26.75,133.75,129.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
74,,2025-02-06 14:45:00,,,,1.0,1.0,80.0,80.0,4.04,75.96,16.0,80.0,75.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
76,,2025-02-10 18:00:00,,,,-1.0,1.0,-13.75,-13.75,4.04,-17.79,-2.75,-13.75,-17.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
78,,2025-02-11 18:00:00,,,,-1.0,1.0,47.5,47.5,4.04,43.46,9.5,47.5,43.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
80,,2025-02-12 18:00:00,,,,-1.0,1.0,80.0,80.0,4.04,75.96,16.0,80.0,75.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
82,,2025-02-13 14:30:00,,,,-1.0,1.0,116.25,116.25,4.04,112.21,23.25,116.25,112.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
84,,2025-02-17 18:30:00,,,,-1.0,1.0,-32.5,-32.5,4.04,-36.54,-6.5,-32.5,-36.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
86,,2025-02-18 16:00:00,,,,1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.0,-70.0,-74.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
88,,2025-02-19 12:15:00,,,,-1.0,1.0,67.5,67.5,4.04,63.46,13.5,67.5,63.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
90,,2025-02-19 18:00:00,,,,-1.0,1.0,-26.25,-26.25,4.04,-30.29,-5.25,-26.25,-30.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
92,,2025-02-21 13:15:00,,,,1.0,1.0,122.5,122.5,4.04,118.46,24.5,122.5,118.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
94,,2025-02-24 16:00:00,,,,1.0,1.0,100.0,100.0,4.04,95.96,20.0,100.0,95.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
96,,2025-02-25 15:30:00,,,,1.0,1.0,-147.5,-147.5,4.04,-151.54,-29.5,-147.5,-151.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
98,,2025-02-26 16:30:00,,,,1.0,1.0,-182.5,-182.5,4.04,-186.54,-36.5,-182.5,-186.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
100,,2025-02-27 15:15:00,,,,1.0,1.0,163.75,163.75,4.04,159.71,32.75,163.75,159.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
102,,2025-02-28 16:00:00,,,,-1.0,1.0,210.0,210.0,4.04,205.96,42.0,210.0,205.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
104,,2025-03-03 15:30:00,,,,1.0,1.0,401.25,401.25,4.04,397.21,80.25,401.25,397.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
106,,2025-03-04 15:45:00,,,,-1.0,1.0,-131.25,-131.25,4.04,-135.29,-26.25,-131.25,-135.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
108,,2025-03-05 13:00:00,,,,1.0,1.0,-283.75,-283.75,4.04,-287.79,-56.75,-283.75,-287.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
110,,2025-03-05 18:00:00,,,,-1.0,1.0,-71.25,-71.25,4.04,-75.29,-14.25,-71.25,-75.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
