Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
220,,2025-05-13 08:30:00,,,-1.0,83.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
222,,2025-05-14 07:45:00,,,1.0,-107.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-111.54,-107.5,Unknown,Unknown
224,,2025-05-15 10:15:00,,,1.0,-131.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-135.29,-131.25,Unknown,Unknown
226,,2025-05-16 10:45:00,,,-1.0,-66.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-70.29,-66.25,Unknown,Unknown
228,,2025-05-19 09:45:00,,,1.0,-132.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-136.54,-132.5,Unknown,Unknown
230,,2025-05-21 11:30:00,,,1.0,-181.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-185.29,-181.25,Unknown,Unknown
232,,2025-05-22 08:30:00,,,1.0,127.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,123.46,127.5,Unknown,Unknown
234,,2025-05-23 07:45:00,,,1.0,195.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,190.96,195.0,Unknown,Unknown
236,,2025-05-25 18:00:00,,,1.0,-156.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-160.29,-156.25,Unknown,Unknown
238,,2025-05-26 21:45:00,,,-1.0,-117.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-121.54,-117.5,Unknown,Unknown
240,,2025-05-27 09:30:00,,,-1.0,-107.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-111.54,-107.5,Unknown,Unknown
242,,2025-05-28 06:45:00,,,1.0,-76.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
244,,2025-05-29 06:15:00,,,-1.0,-128.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-132.79,-128.75,Unknown,Unknown
246,,2025-05-30 08:15:00,,,-1.0,-101.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-105.29,-101.25,Unknown,Unknown
248,,2025-06-02 10:15:00,,,-1.0,-107.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-111.54,-107.5,Unknown,Unknown
250,,2025-06-03 09:45:00,,,-1.0,98.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,94.71,98.75,Unknown,Unknown
252,,2025-06-04 08:30:00,,,-1.0,-51.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-55.29,-51.25,Unknown,Unknown
