Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
814,,2025-05-09 08:45:00,,,-1.0,57.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,53.46,57.5,Unknown,Unknown
816,,2025-05-12 03:45:00,,,1.0,-631.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-635.29,-631.25,Unknown,Unknown
818,,2025-05-12 04:15:00,,,-1.0,-45.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-49.04,-45.0,Unknown,Unknown
820,,2025-05-12 08:45:00,,,1.0,-141.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-145.29,-141.25,Unknown,Unknown
822,,2025-05-13 06:00:00,,,-1.0,-1.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-5.29,-1.25,Unknown,Unknown
824,,2025-05-13 09:30:00,,,1.0,-98.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-102.79,-98.75,Unknown,Unknown
826,,2025-05-14 03:15:00,,,-1.0,233.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,229.71,233.75,Unknown,Unknown
828,,2025-05-14 03:30:00,,,1.0,58.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
830,,2025-05-14 04:00:00,,,-1.0,25.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,20.96,25.0,Unknown,Unknown
832,,2025-05-14 05:00:00,,,1.0,21.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,17.21,21.25,Unknown,Unknown
834,,2025-05-14 07:15:00,,,-1.0,37.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,33.46,37.5,Unknown,Unknown
836,,2025-05-15 03:15:00,,,1.0,145.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,140.96,145.0,Unknown,Unknown
838,,2025-05-15 06:00:00,,,-1.0,-11.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-15.29,-11.25,Unknown,Unknown
840,,2025-05-15 06:45:00,,,1.0,21.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,17.21,21.25,Unknown,Unknown
842,,2025-05-15 08:00:00,,,-1.0,35.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,30.96,35.0,Unknown,Unknown
844,,2025-05-15 09:30:00,,,1.0,-22.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-26.54,-22.5,Unknown,Unknown
846,,2025-05-16 03:30:00,,,-1.0,243.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,239.71,243.75,Unknown,Unknown
848,,2025-05-16 09:00:00,,,1.0,-37.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-41.54,-37.5,Unknown,Unknown
850,,2025-05-19 05:30:00,,,-1.0,-200.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-204.04,-200.0,Unknown,Unknown
852,,2025-05-19 06:15:00,,,1.0,33.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,29.71,33.75,Unknown,Unknown
854,,2025-05-19 06:45:00,,,-1.0,55.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,50.96,55.0,Unknown,Unknown
856,,2025-05-19 09:15:00,,,1.0,12.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,8.46,12.5,Unknown,Unknown
858,,2025-05-19 09:30:00,,,-1.0,26.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,22.21,26.25,Unknown,Unknown
860,,2025-05-20 03:45:00,,,1.0,-245.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-249.04,-245.0,Unknown,Unknown
862,,2025-05-20 07:00:00,,,-1.0,46.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,42.21,46.25,Unknown,Unknown
864,,2025-05-21 04:15:00,,,1.0,200.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,195.96,200.0,Unknown,Unknown
866,,2025-05-21 04:45:00,,,-1.0,-30.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-34.04,-30.0,Unknown,Unknown
868,,2025-05-21 05:15:00,,,1.0,2.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-1.54,2.5,Unknown,Unknown
870,,2025-05-21 07:00:00,,,-1.0,-25.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-29.04,-25.0,Unknown,Unknown
872,,2025-05-21 08:45:00,,,1.0,-1.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-5.29,-1.25,Unknown,Unknown
874,,2025-05-22 04:00:00,,,-1.0,-253.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-257.79,-253.75,Unknown,Unknown
876,,2025-05-22 07:00:00,,,1.0,18.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,14.71,18.75,Unknown,Unknown
878,,2025-05-22 08:45:00,,,-1.0,-96.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-100.29,-96.25,Unknown,Unknown
880,,2025-05-22 09:00:00,,,1.0,-70.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-74.04,-70.0,Unknown,Unknown
882,,2025-05-22 09:15:00,,,-1.0,11.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,7.21,11.25,Unknown,Unknown
884,,2025-05-23 05:15:00,,,1.0,23.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,19.71,23.75,Unknown,Unknown
886,,2025-05-23 06:00:00,,,-1.0,3.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-0.29000000000000004,3.75,Unknown,Unknown
888,,2025-05-23 06:15:00,,,1.0,21.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,17.21,21.25,Unknown,Unknown
890,,2025-05-23 08:30:00,,,-1.0,-365.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-369.04,-365.0,Unknown,Unknown
892,,2025-05-23 08:45:00,,,1.0,5.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,0.96,5.0,Unknown,Unknown
894,,2025-05-26 03:45:00,,,-1.0,532.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,528.46,532.5,Unknown,Unknown
896,,2025-05-27 04:00:00,,,1.0,-102.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-106.54,-102.5,Unknown,Unknown
898,,2025-05-27 04:15:00,,,-1.0,-2.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-6.54,-2.5,Unknown,Unknown
900,,2025-05-27 08:45:00,,,1.0,80.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
902,,2025-05-27 09:30:00,,,-1.0,-20.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-24.04,-20.0,Unknown,Unknown
904,,2025-05-28 03:30:00,,,1.0,-193.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-197.79,-193.75,Unknown,Unknown
906,,2025-05-28 06:45:00,,,-1.0,66.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,62.21,66.25,Unknown,Unknown
908,,2025-05-28 09:30:00,,,1.0,-12.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-16.54,-12.5,Unknown,Unknown
910,,2025-05-29 03:45:00,,,-1.0,301.25,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,297.21,301.25,Unknown,Unknown
912,,2025-05-29 04:30:00,,,1.0,33.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,29.71,33.75,Unknown,Unknown
914,,2025-05-30 04:15:00,,,-1.0,-378.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-382.79,-378.75,Unknown,Unknown
916,,2025-05-30 08:15:00,,,1.0,146.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,142.21,146.25,Unknown,Unknown
918,,2025-05-30 08:45:00,,,-1.0,72.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,68.46,72.5,Unknown,Unknown
920,,2025-05-30 09:00:00,,,1.0,22.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,18.46,22.5,Unknown,Unknown
922,,2025-06-02 03:45:00,,,-1.0,-93.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-97.79,-93.75,Unknown,Unknown
924,,2025-06-02 04:00:00,,,1.0,-2.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-6.54,-2.5,Unknown,Unknown
926,,2025-06-02 04:15:00,,,-1.0,50.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,45.96,50.0,Unknown,Unknown
928,,2025-06-02 05:15:00,,,1.0,45.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,40.96,45.0,Unknown,Unknown
930,,2025-06-02 07:00:00,,,-1.0,42.5,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,38.46,42.5,Unknown,Unknown
932,,2025-06-02 09:30:00,,,1.0,-36.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-40.29,-36.25,Unknown,Unknown
