Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
752,,2025-04-24 07:45:00,,,,1.0,1.0,28.75,28.75,4.04,24.71,5.75,28.75,24.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(110.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
754,,2025-04-24 08:00:00,,,,-1.0,1.0,25.0,25.0,4.04,20.96,5.0,25.0,20.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
756,,2025-04-24 09:30:00,,,,1.0,1.0,-120.0,-120.0,4.04,-124.04,-24.0,-120.0,-124.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
758,,2025-04-25 04:00:00,,,,-1.0,1.0,625.0,625.0,4.04,620.96,125.0,625.0,620.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
760,,2025-04-25 05:00:00,,,,1.0,1.0,18.75,18.75,4.04,14.71,3.75,18.75,14.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
762,,2025-04-25 07:15:00,,,,-1.0,1.0,-146.25,-146.25,4.04,-150.29,-29.25,-146.25,-150.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(73.75)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
764,,2025-04-25 07:30:00,,,,1.0,1.0,-25.0,-25.0,4.04,-29.04,-5.0,-25.0,-29.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(140.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
766,,2025-04-28 03:30:00,,,,-1.0,1.0,163.75,163.75,4.04,159.71,32.75,163.75,159.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
768,,2025-04-28 07:00:00,,,,1.0,1.0,42.5,42.5,4.04,38.46,8.5,42.5,38.46,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(68.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
770,,2025-04-28 07:30:00,,,,-1.0,1.0,45.0,45.0,4.04,40.96,9.0,45.0,40.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
